,Switch ID,Port Number,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Packets Rx Dropped,Packets Tx Dropped,Packets Rx Errors,Packets Tx Errors,Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Delta Packets Rx Dropped, Delta Packets Tx Dropped,Delta Packets Rx Errors,Delta Packets Tx Errors,Connection Point,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,is_valid,Table ID,Active Flow Entries,Packets Looked Up,Packets Matched,Max Size,Label,Binary Label
1,of:000000000000000c,Port#:2,187,6304498,15713,171,46,0,0,0,0,146,5908166,5969,84,5,0,0,0,0,2,0,0,0,0,0,True,0,9,767,688,-1,TCP-SYN,Attack
9,of:000000000000000b,Port#:2,60,8114,8198,62,46,0,0,0,0,2,280,280,2,5,0,0,0,0,2,0,0,0,0,0,True,0,7,409,353,-1,TCP-SYN,Attack
10,of:0000000000000003,Port#:1,11,946,8214,62,46,0,0,0,0,0,0,278,2,5,0,0,0,0,1,0,0,0,0,0,True,0,8,1233,1145,-1,TCP-SYN,Attack
14,of:0000000000000004,Port#:1,444,28798,7966,58,46,0,0,0,0,101,5624,278,2,5,0,0,0,0,1,0,0,0,0,0,True,0,5,605,516,-1,TCP-SYN,Attack
15,of:0000000000000004,Port#:2,61,8124,28882,446,46,0,0,0,0,2,278,5624,101,5,0,0,0,0,2,567,20682,567,20682,567,True,0,5,605,516,-1,TCP-SYN,Attack
18,of:0000000000000001,Port#:2,396,21676,28876,445,46,0,0,0,0,99,5346,5624,101,5,0,0,0,0,2,540,20412,540,20412,540,True,0,6,940,857,-1,TCP-SYN,Attack
20,of:0000000000000001,Port#:4,56,7882,8008,59,46,0,0,0,0,2,278,278,2,5,0,0,0,0,4,0,0,0,0,0,True,0,6,940,857,-1,TCP-SYN,Attack
25,of:0000000000000007,Port#:3,58,7998,7924,57,46,0,0,0,0,2,278,278,2,5,0,0,0,0,3,0,0,0,0,0,True,0,5,219,121,-1,TCP-SYN,Attack
27,of:0000000000000008,Port#:2,57,7924,7998,58,46,0,0,0,0,2,278,278,2,5,0,0,0,0,2,0,0,0,0,0,True,0,5,401,307,-1,TCP-SYN,Attack
41,of:000000000000000c,Port#:4,68,9032,17601,191,56,0,0,0,0,4,556,560,4,5,0,0,0,0,4,0,0,0,0,0,True,0,9,1042,963,-1,TCP-SYN,Attack
42,of:000000000000000a,Port#:1,188,6304547,17659,192,56,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,True,0,4,516,430,-1,TCP-SYN,Attack
47,of:000000000000000b,Port#:2,70,9346,9360,71,56,0,0,0,0,5,630,560,4,5,0,0,0,0,2,0,0,0,0,0,True,0,6,424,367,-1,TCP-SYN,Attack
48,of:0000000000000003,Port#:1,186,6304415,17324,187,56,0,0,0,0,146,5908149,6776,94,5,0,0,0,0,1,781,7812,781,7812,781,True,0,8,1944,1856,-1,TCP-SYN,Attack
51,of:0000000000000003,Port#:4,763,48332,9278,70,56,0,0,0,0,191,11998,556,4,5,0,0,0,0,4,0,0,0,0,0,True,0,8,1944,1856,-1,TCP-SYN,Attack
52,of:0000000000000004,Port#:1,645,40320,9078,66,56,0,0,0,0,101,5794,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,6,947,858,-1,TCP-SYN,Attack
54,of:0000000000000004,Port#:3,179,16880,9162,68,56,0,0,0,0,93,6706,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,6,947,858,-1,TCP-SYN,Attack
59,of:0000000000000002,Port#:1,186,6304411,17109,184,56,0,0,0,0,0,0,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,5,988,939,-1,TCP-SYN,Attack
61,of:0000000000000007,Port#:1,66,9078,9036,65,56,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,5,428,329,-1,TCP-SYN,Attack
62,of:0000000000000007,Port#:2,243,6312659,9162,68,56,0,0,0,0,151,5908775,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,5,428,329,-1,TCP-SYN,Attack
64,of:0000000000000008,Port#:1,68,9162,17164,185,56,0,0,0,0,4,556,6706,93,5,0,0,0,0,1,0,0,0,0,0,True,0,6,682,588,-1,TCP-SYN,Attack
68,of:0000000000000005,Port#:2,244,6312705,9162,68,56,0,0,0,0,150,5908705,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,5,414,331,-1,TCP-SYN,Attack
76,of:000000000000000c,Port#:1,298,6311791,6328307,412,146,0,0,0,0,163,6302428,6892,100,5,0,0,0,0,1,0,0,0,0,0,True,0,6,2367,2272,-1,TCP-SYN,Attack
78,of:000000000000000c,Port#:3,929,25238128,25828,246,146,0,0,0,0,100,6888,560,4,5,0,0,0,0,3,0,0,0,0,0,True,0,6,2367,2272,-1,TCP-SYN,Attack
87,of:0000000000000003,Port#:2,2840,6452671,19061013,3085,146,0,0,0,0,95,5130,5686,99,5,0,0,0,0,2,561,6427938,561,6427938,561,True,0,6,6487,6384,-1,TCP-SYN,Attack
94,of:0000000000000001,Port#:2,2675,12732842,157493,2661,146,0,0,0,0,95,5130,5686,99,5,0,0,0,0,2,507,131482,507,131482,507,True,0,10,6936,6838,-1,TCP-SYN,Attack
97,of:0000000000000002,Port#:1,736,18924826,12647239,814,146,0,0,0,0,95,6290,6302984,167,5,0,0,0,0,1,0,0,0,0,0,True,0,8,4220,4161,-1,TCP-SYN,Attack
100,of:0000000000000007,Port#:2,754,18934587,25835,251,146,0,0,0,0,90,6234,556,4,5,0,0,0,0,2,0,0,0,0,0,True,0,5,1246,1132,-1,TCP-SYN,Attack
114,of:000000000000000c,Port#:1,188,6304531,30197,286,191,0,0,0,0,0,0,560,4,4,0,0,0,0,1,0,0,0,0,0,True,0,8,7765,7665,-1,TCP-SYN,Attack
120,of:000000000000000a,Port#:3,165,21956,31562256,1369,191,0,0,0,0,4,556,560,4,5,0,0,0,0,3,0,0,0,0,0,True,0,6,3112,3013,-1,TCP-SYN,Attack
122,of:000000000000000b,Port#:1,3224,6470214,6491345,3378,191,0,0,0,0,107,6223,269121,114,5,0,0,0,0,1,39988,6460097,39988,6460097,39988,True,0,8,6764,6695,-1,TCP-SYN,Attack
123,of:000000000000000b,Port#:2,348,6325959,30749,294,191,0,0,0,0,19,263819,1761,18,5,0,0,0,0,2,0,0,0,0,0,True,0,8,6764,6695,-1,TCP-SYN,Attack
124,of:0000000000000003,Port#:1,411,6319819,12636509,626,191,0,0,0,0,0,0,556,4,5,0,0,0,0,1,0,0,0,0,0,True,0,4,1665,1571,-1,TCP-SYN,Attack
126,of:0000000000000003,Port#:3,278,29623,6332660,441,191,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,4,1665,1571,-1,TCP-SYN,Attack
139,of:0000000000000007,Port#:3,3933,19112376,12628491,506,191,0,0,0,0,98,5632,556,4,4,0,0,0,0,3,0,6303352,0,6303352,0,True,0,7,7639,7524,-1,TCP-SYN,Attack
141,of:0000000000000008,Port#:2,506,12628491,19112376,3933,191,0,0,0,0,4,556,5632,98,5,0,0,0,0,2,464,156006,464,156006,464,True,0,6,5204,5098,-1,TCP-SYN,Attack
148,of:0000000000000006,Port#:3,518,12629036,22124,169,191,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,0,0,0,0,True,0,5,2038,1934,-1,TCP-SYN,Attack
154,of:000000000000000c,Port#:3,737,12644596,197555,3375,201,0,0,0,0,22,1894,5464,98,5,0,0,0,0,3,480,166320,480,166320,480,True,0,8,8446,8346,-1,TCP-SYN,Attack
